0 0 0.000000 0.000000
4 0 0.000000 0.000000
8 0 0.000000 0.000000
12 0 0.000000 0.000000
16 0 0.000000 0.000000
20 0 0.000000 0.000000
24 0 0.000000 0.000000
28 0 0.000000 0.000000
32 0 0.000000 0.000000
36 0 0.000000 0.000000
40 0 0.000000 0.000000
44 0 0.000000 0.000000
48 0 0.000000 0.000000
52 0 0.000000 0.000000
56 0 0.000000 0.000000
60 0 0.000000 0.000000
64 0 0.000000 0.000000
0 4 0.000000 0.000000
4 4 -0.003979 0.004194
8 4 -0.019065 0.011133
12 4 -0.043701 0.015556
16 4 -0.072958 0.016766
20 4 -0.101652 0.015167
24 4 -0.125444 0.011427
28 4 -0.141162 0.006243
32 4 -0.146837 0.000291
36 4 -0.141711 -0.005748
40 4 -0.126282 -0.011146
44 4 -0.102401 -0.015104
48 4 -0.073344 -0.016793
52 4 -0.043713 -0.015491
56 4 -0.018941 -0.010874
60 4 -0.003970 -0.003859
64 4 0.000000 0.000000
0 8 0.000000 0.000000
4 8 -0.011378 0.019647
8 8 -0.041996 0.040923
12 8 -0.086449 0.054271
16 8 -0.136994 0.057604
20 8 -0.185702 0.051828
24 8 -0.225786 0.038926
28 8 -0.252180 0.021155
32 8 -0.261714 0.000792
36 8 -0.253162 -0.019846
40 8 -0.227327 -0.038289
44 8 -0.187176 -0.051888
48 8 -0.137900 -0.057987
52 8 -0.086682 -0.054425
56 8 -0.041863 -0.040515
60 8 -0.011305 -0.018955
64 8 0.000000 0.000000
0 12 0.000000 0.000000
4 12 -0.018237 0.047236
8 12 -0.063967 0.088412
12 12 -0.127014 0.112770
16 12 -0.196461 0.117728
20 12 -0.262154 0.105102
24 12 -0.315672 0.078635
28 12 -0.350800 0.042664
32 12 -0.363645 0.001609
36 12 -0.352646 -0.040010
40 12 -0.318680 -0.077388
44 12 -0.265263 -0.105371
48 12 -0.198726 -0.118816
52 12 -0.128049 -0.113560
56 12 -0.064094 -0.088121
60 12 -0.018158 -0.046200
64 12 0.000000 0.000000
0 16 0.000000 0.000000
4 16 -0.024822 0.086508
8 16 -0.085847 0.153457
12 16 -0.167977 0.190472
16 16 -0.256532 0.195901
20 16 -0.338965 0.173434
24 16 -0.405470 0.129237
28 16 -0.449070 0.070169
32 16 -0.465435 0.003097
36 16 -0.452706 -0.065020
40 16 -0.411581 -0.126739
44 16 -0.345675 -0.173939
48 16 -0.261998 -0.198304
52 16 -0.171167 -0.192772
56 16 -0.086945 -0.153989
60 16 -0.024933 -0.085381
64 16 0.000000 0.000000
0 20 0.000000 0.000000
4 20 -0.031993 0.137918
8 20 -0.109799 0.237155
12 20 -0.212809 0.288507
16 20 -0.321935 0.292812
20 20 -0.421983 0.257063
24 20 -0.501920 0.190814
28 20 -0.554366 0.103936
32 20 -0.574832 0.005859
36 20 -0.561182 -0.094063
40 20 -0.513638 -0.185714
44 20 -0.435392 -0.257649
48 20 -0.333640 -0.297513
52 20 -0.220511 -0.293953
56 20 -0.113201 -0.240046
60 20 -0.032695 -0.137491
64 20 0.000000 0.000000
0 24 0.000000 0.000000
4 24 -0.040544 0.203180
8 24 -0.137850 0.341855
12 24 -0.264350 0.408919
16 24 -0.395702 0.409720
20 24 -0.513962 0.356532
24 24 -0.607315 0.263613
28 24 -0.668614 0.144371
32 24 -0.693706 0.010697
36 24 -0.680295 -0.126075
40 24 -0.627766 -0.253496
44 24 -0.538118 -0.356636
48 24 -0.417830 -0.418076
52 24 -0.280004 -0.420185
56 24 -0.145616 -0.349923
60 24 -0.042498 -0.205171
64 24 0.000000 0.000000
0 28 0.000000 0.000000
4 28 -0.051111 0.285086
8 28 -0.171414 0.470707
12 28 -0.323889 0.553698
16 28 -0.477867 0.547042
20 28 -0.612950 0.471153
24 28 -0.717624 0.346731
28 28 -0.786200 0.191202
32 28 -0.815779 0.018452
36 28 -0.804251 -0.159172
40 28 -0.749786 -0.327842
44 28 -0.652057 -0.469456
48 28 -0.515189 -0.560561
52 28 -0.351781 -0.574593
56 28 -0.186317 -0.488467
60 28 -0.055264 -0.292576
64 28 0.000000 0.000000
0 32 0.000000 0.000000
4 32 -0.064221 0.387189
8 32 -0.211135 0.626792
12 32 -0.390416 0.723233
16 32 -0.563958 0.702374
20 32 -0.710111 0.597018
24 32 -0.819829 0.436459
28 32 -0.890956 0.242385
32 32 -0.923337 0.029633
36 32 -0.915749 -0.190182
40 32 -0.864893 -0.403724
44 32 -0.766697 -0.590989
48 32 -0.620326 -0.722080
52 32 -0.434808 -0.758331
56 32 -0.236372 -0.660593
60 32 -0.071787 -0.405023
64 32 0.000000 0.000000
0 36 0.000000 0.000000
4 36 -0.080473 0.513549
8 36 -0.256869 0.811769
12 36 -0.459701 0.913869
16 36 -0.642958 0.867635
20 36 -0.786861 0.724384
24 36 -0.888662 0.524264
28 36 -0.952748 0.292767
32 36 -0.983644 0.043785
36 36 -0.982076 -0.214415
40 36 -0.943425 -0.471989
44 36 -0.858594 -0.709837
48 36 -0.718392 -0.892795
52 36 -0.522914 -0.967234
56 36 -0.295267 -0.869269
60 36 -0.092795 -0.548520
64 36 0.000000 0.000000
0 40 0.000000 0.000000
4 40 -0.100990 0.668694
8 40 -0.307706 1.023707
12 40 -0.522599 1.114013
16 40 -0.693987 1.025074
20 40 -0.810969 0.834660
24 40 -0.883048 0.594867
28 40 -0.924541 0.332888
32 40 -0.946317 0.058710
36 40 -0.952120 -0.225971
40 40 -0.936879 -0.518635
44 40 -0.886389 -0.805785
48 40 -0.780115 -1.051316
52 40 -0.601518 -1.186483
56 40 -0.360059 -1.112014
60 40 -0.119197 -0.729170
